,Brand,Model,Ram,Rom,Processor,Price Category,Processor Type,Rom Type,Price (₹),Website
0,APPLE,APPLE MacBook Air M1 ,8GB,512GB SSD,Apple M1 Processor,High End Laptop,Apple M1 Processor,Solid State Drive,106990,FLIPKART
1,APPLE,APPLE 2020 Macbook Air M1 ,8GB,256GB SSD,Apple M1 Processor,High End Laptop,Apple M1 Processor,Solid State Drive,92900,FLIPKART
2,APPLE,APPLE 2020 Macbook Air M1 ,8GB,512GB SSD,Apple M1 Processor,High End Laptop,Apple M1 Processor,Solid State Drive,111490,FLIPKART
3,APPLE,APPLE 2020 Macbook Air M1 ,8GB,256GB SSD,Apple M1 Processor,High End Laptop,Apple M1 Processor,Solid State Drive,92900,FLIPKART
4,APPLE,APPLE 2022 MacBook Pro M2 ,8GB,256GB SSD,Apple M2 Processor,High End Laptop,Apple M2 Processor,Solid State Drive,129900,FLIPKART
5,APPLE,APPLE 2022 MacBook Pro M2 ,8GB,512GB SSD,Apple M2 Processor,High End Laptop,Apple M2 Processor,Solid State Drive,149900,FLIPKART
6,APPLE,APPLE 2021 Macbook Pro M1 Pro ,16GB,512GB SSD,Apple M1 Pro Processor,High End Laptop,Apple M1 Pro Processor,Solid State Drive,225990,FLIPKART
7,APPLE,APPLE 2020 Macbook Air M1 ,8GB,512GB SSD,Apple M1 Processor,High End Laptop,Apple M1 Processor,Solid State Drive,112490,FLIPKART
8,APPLE,APPLE 2022 MacBook Pro M2 ,8GB,512GB SSD,Apple M2 Processor,High End Laptop,Apple M2 Processor,Solid State Drive,149900,FLIPKART
9,APPLE,APPLE 2020 Macbook Pro M1 ,8GB,256GB SSD,Apple M1 Processor,High End Laptop,Apple M1 Processor,Solid State Drive,116990,FLIPKART
10,APPLE,APPLE 2022 MacBook Pro M2 ,8GB,256GB SSD,Apple M2 Processor,High End Laptop,Apple M2 Processor,Solid State Drive,129900,FLIPKART
11,APPLE,APPLE 2020 Macbook Pro M1 ,8GB,512GB SSD,Apple M1 Processor,High End Laptop,Apple M1 Processor,Solid State Drive,132990,FLIPKART
12,APPLE,APPLE MacBook Air M1 ,8GB,512GB SSD,Apple M1 Processor,High End Laptop,Apple M1 Processor,Solid State Drive,106990,FLIPKART
13,APPLE,APPLE 2020 Macbook Air M1 ,8GB,256GB SSD,Apple M1 Processor,High End Laptop,Apple M1 Processor,Solid State Drive,92900,FLIPKART
14,APPLE,APPLE MacBook Pro with Touch Bar Core i5 10th Gen ,16GB,1TB SSD,Intel Core i5,High End Laptop,Intel,Solid State Drive,174990,FLIPKART
15,APPLE,APPLE 2021 Macbook Pro M1 Pro ,16GB,1TB SSD,Apple M1 Pro Processor,High End Laptop,Apple M1 Pro Processor,Solid State Drive,239990,FLIPKART
16,APPLE,APPLE MacBook Pro with Touch Bar Core i5 10th Gen ,16GB,1TB SSD,Intel Core i5,High End Laptop,Intel,Solid State Drive,174990,FLIPKART
17,APPLE,APPLE MacBook Pro M1 ,8GB,1TB SSD,Apple M1 Processor,High End Laptop,Apple M1 Processor,Solid State Drive,149990,FLIPKART
18,APPLE,APPLE MacBook Air Core i5 10th Gen ,8GB,512GB SSD,Intel Core i5,High End Laptop,Intel,Solid State Drive,104990,FLIPKART
19,APPLE,APPLE 2021 Macbook Pro M1 Pro ,16GB,1TB SSD,Apple M1 Pro Processor,High End Laptop,Apple M1 Pro Processor,Solid State Drive,225990,FLIPKART
20,APPLE,APPLE MacBook Pro Core i5 8th Gen ,8GB,512GB SSD,Intel Core i5,High End Laptop,Intel,Solid State Drive,162990,FLIPKART
21,Lenovo,Lenovo IdeaPad 3 Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,38490,FLIPKART
22,Lenovo,Lenovo IdeaPad 3 Core i3 10th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,33490,FLIPKART
23,Lenovo,Lenovo IdeaPad Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,38490,FLIPKART
24,Lenovo,Lenovo IdeaPad 3 Celeron Dual Core 4th Gen ,4GB,256GB SSD,Intel Celeron,Budget Laptop,Intel,Solid State Drive,27990,FLIPKART
25,Lenovo,Lenovo Ideapad Slim 5i Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,64990,FLIPKART
26,Lenovo,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U ,8GB,512GB SSD,AMD Ryzen 5,Budget Laptop,AMD,Solid State Drive,47990,FLIPKART
27,Lenovo,Lenovo IdeaPad 3 Core i3 10th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,33490,FLIPKART
28,Lenovo,Lenovo IdeaPad 3 Core i3 11th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,36990,FLIPKART
29,Lenovo,Lenovo IdeaPad Gaming 3 Core i5 10th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,53490,FLIPKART
30,Lenovo,Lenovo IdeaPad 3 Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,51990,FLIPKART
31,Lenovo,Lenovo IdeaPad 3 Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,41990,FLIPKART
32,Lenovo,Lenovo Core i3 10th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,36990,FLIPKART
33,Lenovo,Lenovo IdeaPad 3 Core i5 10th Gen ,8GB,512GB SSD,Intel Core i5,Budget Laptop,Intel,Solid State Drive,49990,FLIPKART
34,Lenovo,Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,53990,FLIPKART
35,Lenovo,Lenovo Legion 5 Ryzen 5 Hexa Core 4600H ,8GB,1TB HDD + 256GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Hard Disk Drive & Solid State Drive,60990,FLIPKART
36,Lenovo,Lenovo IdeaPad 3 Core i5 10th Gen ,8GB,512GB SSD,Intel Core i5,Budget Laptop,Intel,Solid State Drive,48490,FLIPKART
37,Lenovo,Lenovo IdeaPad Core i3 10th Gen ,4GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,31490,FLIPKART
38,Lenovo,Lenovo Ideapad S145 Core i3 10th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,36490,FLIPKART
39,Lenovo,Lenovo Core i3 10th Gen ,4GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,32990,FLIPKART
40,Lenovo,Lenovo IdeaPad Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,64990,FLIPKART
41,Lenovo,Lenovo Core i3 11th Gen ,4GB,1TB HDD,Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,33990,FLIPKART
42,Lenovo,Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,61990,FLIPKART
43,Lenovo,Lenovo IdeaPad Flex 5 Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Mid Range Laptop,Intel,Solid State Drive,58990,FLIPKART
44,Lenovo,Lenovo APU Dual Core A9 A99425 ,4GB,1TB HDD,AMD APU Dual Core A9,Budget Laptop,AMD,Hard Disk Drive,26990,FLIPKART
45,Lenovo,Lenovo Thinkpad Ryzen 5 Hexa Core 5600U ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,56990,FLIPKART
46,Lenovo,Lenovo IdeaPad Ryzen 5 Hexa Core 5500U ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,50990,FLIPKART
47,Lenovo,Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen ,8GB,256GB SSD,Intel Core i5,Budget Laptop,Intel,Solid State Drive,49990,FLIPKART
48,Lenovo,Lenovo Core i3 10th Gen ,8GB,1TB HDD,Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,32990,FLIPKART
49,Lenovo,Lenovo ThinkBook 13s Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,54990,FLIPKART
50,Lenovo,Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core 5600H ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,69990,FLIPKART
51,Lenovo,Lenovo Ideapad Flex 5 Core i3 11th Gen ,8GB,256GB SSD,Intel Core i3,Mid Range Laptop,Intel,Solid State Drive,57200,FLIPKART
52,Lenovo,Lenovo Legion 5 Core i5 10th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,66490,FLIPKART
53,Lenovo,Lenovo IdeaPad 3 Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,44490,FLIPKART
54,Lenovo,Lenovo Ideapad Slim 5i Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,High End Laptop,Intel,Solid State Drive,70990,FLIPKART
55,Lenovo,Lenovo Legion 5 Ryzen 7 Octa Core 5800H ,16GB,1TB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,130990,FLIPKART
56,Lenovo,Lenovo IdeaPad Slim 3i (2021) Core i3 11th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,43990,FLIPKART
57,Lenovo,Lenovo Ideapad Slim 5 Ryzen 7 Octa Core 4700U ,8GB,512GB SSD,AMD Ryzen 7,Mid Range Laptop,AMD,Solid State Drive,58990,FLIPKART
58,Lenovo,Lenovo IdeaPad 3 Celeron Dual Core ,4GB,256GB SSD,Intel Celeron,Budget Laptop,Intel,Solid State Drive,30799,FLIPKART
59,Lenovo,Lenovo IdeaPad Gaming Ryzen 5 Hexa Core 4600H ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,62990,FLIPKART
60,Lenovo,Lenovo IdeaPad 5 Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,64990,FLIPKART
61,Lenovo,Lenovo Legion 5 Core i7 11th Gen ,16GB,512GB SSD,Intel Core i7,High End Laptop,Intel,Solid State Drive,94990,FLIPKART
