,Brand,Model,Ram,Rom,Processor,Price Category,Processor Type,Rom Type,Price  (₹),Website,Ram - b,Processor Type - b,Price Category - b
0,Lenovo,Lenovo DFIN Yoga Slim 7 Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,81999,RelianceDigital.com,2,0,0
1,Dell,Dell 3400 Vostro 14 Laptop ,4GB,1TB HDD + 256GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Hard Disk Drive & Solid State Drive,45999,RelianceDigital.com,0,0,1
2,Asus,Asus KG512S Laptop ,16GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,67999,RelianceDigital.com,2,1,2
3,Asus,Asus KG711TS Laptop ,16GB,1TB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,72499,RelianceDigital.com,2,1,0
4,Microsoft,Microsoft 5UI-00023 Surface 4 Laptop ,8GB,256GB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,130990,RelianceDigital.com,1,1,0
5,Microsoft,Microsoft 5PB-00023 Surface 4 Laptop ,8GB,256GB SSD,AMD Ryzen 5,High End Laptop,AMD,Solid State Drive,99990,RelianceDigital.com,1,1,0
6,Dell,Dell 3515 Inspiron 15 Standard Laptop ,8GB,256GB SSD,AMD Ryzen 3,Budget Laptop,AMD,Solid State Drive,38999,RelianceDigital.com,1,1,1
7,Dell,Dell 3515 Inspiron 15 Standard Laptop ,8GB,512GB SSD,AMD Ryzen 3,Budget Laptop,AMD,Solid State Drive,42999,RelianceDigital.com,1,1,1
8,Dell,Dell 3511 Inspiron 15 Standard Laptop ,8GB,1TB HDD,11th Gen Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,40999,RelianceDigital.com,1,0,1
9,Dell,Dell 3405 Vostro 14 Laptop ,8GB,256GB SSD,AMD Ryzen 5,Budget Laptop,AMD,Solid State Drive,45799,RelianceDigital.com,1,1,1
10,Dell,Dell 3511 Inspiron 15 Standard Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,58999,RelianceDigital.com,1,0,2
11,Dell,Dell 3511 Inspiron 15 Laptop ,8GB,1TB HDD + 256GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive & Solid State Drive,63499,RelianceDigital.com,1,0,2
